
India;primary;Texas;EB2-NIW;;06/10/2009;06/17/2009;06/17/2009;regular;no;;;;approved;07/24/2009
Philippines;primary;Texas;EB1C;;04/15/2009;04/28/2009;04/28/2009;regular;no;;;;approved;07/28/2009
Japan;primary;Nebraska;EB3;01/08/2002;01/03/2008;01/08/2008;01/08/2008;regular;yes;04/07/2009;Experience, A2P;04/28/2009;approved;08/20/2009
South Korea;primary;Nebraska;EB3;07/31/2007;08/13/2007;08/15/2007;10/03/2007;regular;no;;;;approved;02/26/2009
Taiwan;primary;Nebraska;EB2;06/24/2008;04/30/2009;;;regular;yes;08/03/2009;require more info ;08/12/2009;approved;08/19/2009
India;primary;Texas;EB2;02/14/2007;08/01/2007;08/03/2007;10/12/2007;regular;no;;;;denied;06/18/2009
India;primary;Nebraska;EB3;;07/08/2008;;07/08/2008;regular;yes;04/16/2009;Request for Additional Evidenc... more;;pending;
India;primary;Nebraska;EB1C;;10/02/2008;10/06/2008;10/06/2008;regular;yes;06/01/2009;USCIS asked for org structure,... more;07/01/2009;approved;08/19/2009
Belarus;primary;Nebraska;EB2;;07/01/2009;07/02/2009;;premium;yes;07/10/2009;Additional information about e... more;08/14/2009;approved;08/19/2009
India;primary;Nebraska;EB2;;05/01/2009;;;regular;;;;;approved;08/14/2009
India;primary;Nebraska;EB2;07/24/2008;06/24/2009;06/24/2009;;regular;yes;07/20/2009;Still Waiting for the RFE. Hav... more;08/14/2009;approved;08/18/2009
India;primary;Nebraska;EB2;05/09/2006;05/01/2006;;;premium;no;;;;approved;02/22/2007
India;primary;Texas;EB3;11/12/2008;07/01/2009;07/02/2009;07/08/2009;premium;yes;07/08/2009;2008 Financial Tax Statements ... more;08/06/2009;approved;08/13/2009
China;primary;Nebraska;EB2-NIW;;02/09/2007;02/12/2007;02/15/2007;regular;no;;;;approved;05/20/2009
India;primary;Texas;EB3;;04/22/2009;;;regular;yes;05/07/2009;Education is a four year degre... more;;approved;07/29/2009
Pakistan;primary;Texas;EB3;10/23/2008;08/11/2009;08/12/2009;08/12/2009;premium;no;;;;approved;08/19/2009
China;primary;Nebraska;EB1B;;05/29/2008;05/30/2008;;regular;no;;;;approved;06/25/2009
China;primary;Texas;EB2-NIW;;06/23/2008;06/23/2008;;regular;no;;;;approved;06/24/2009
China;primary;Nebraska;EB1A;03/23/2009;03/23/2009;03/23/2009;03/23/2009;regular;no;;;;approved;08/14/2009
Pakistan;primary;Texas;EB2;;01/12/2007;01/22/2007;01/22/2007;regular;no;;;;approved;05/01/2008
Venezuela;primary;Texas;EB1C;;08/07/2009;08/10/2009;08/10/2009;regular;;;;;pending;
India;;Texas;EB2;;05/25/2007;05/29/2007;;regular;no;;;;pending;
Australia;primary;Nebraska;EB3;03/14/2005;10/20/2007;;;regular;no;;;;approved;03/09/2009
India;primary;Nebraska;EB2;04/14/2008;10/04/2008;10/06/2008;;regular;no;;wage and pay info;;approved;11/25/2008
India;primary;Texas;EB3;10/06/2008;07/14/2009;07/16/2009;07/16/2009;regular;no;;;;approved;07/26/2009
Philippines;primary;Nebraska;EB3;10/15/2004;07/05/2007;07/06/2007;07/07/2007;regular;yes;12/23/2008;experience letter and ability ... more;01/28/2009;approved;02/04/2009
Philippines;primary;Nebraska;EB3;07/19/2008;05/22/2009;05/23/2009;;regular;no;;;;approved;08/12/2009
Kenya;primary;Texas;EB3;04/13/2001;10/19/2007;10/22/2007;10/25/2007;regular;yes;;;12/06/2008;approved;12/16/2008
Pakistan;primary;Texas;EB2;11/19/2008;07/24/2009;07/27/2009;;regular;;;;;approved;08/04/2009
Nepal;primary;Texas;EB2;11/19/2008;07/06/2009;07/07/2009;;regular;no;;;;approved;08/17/2009
India;primary;Nebraska;EB2;06/10/2008;03/16/2009;03/17/2009;03/17/2009;regular;no;;;;approved;07/13/2009
China;primary;Nebraska;EB1B;09/12/2008;09/11/2008;09/12/2008;09/12/2008;regular;yes;06/03/2009;Asking more evidence for five ... more;06/29/2009;approved;08/06/2009
India;primary;Texas;EB2;08/03/2003;08/03/2003;;;regular;;;;;approved;01/10/2007
Philippines;primary;Nebraska;EB2;07/24/2008;04/27/2009;04/29/2009;07/23/2009;regular;no;;;;approved;07/23/2009
India;primary;Nebraska;EB2;11/26/2007;02/02/2008;;;regular;;;;;approved;08/28/2008
